"sponsor01";"sponsor02";"idboletin";"date"
"008";"082";4140;2006-04-06
"012";"024";4139;2006-04-06
"003";"034";4137;2006-04-06
"022";"041";4133;2006-04-05
"002";"021";4132;2006-04-05
"014";"015";4130;2006-04-04
"007";"010";4124;2006-03-23
"012";"051";4123;2006-03-22
"012";"041";4122;2006-03-22
"012";"041";4121;2006-03-22
"024";"035";4120;2006-03-22
"041";"050";4117;2006-03-22
"002";"021";4116;2006-03-22
"003";"018";4114;2006-03-21
"007";"024";4112;2006-03-15
"016";"023";4111;2006-03-15
"007";"024";4110;2006-03-15
"007";"017";4109;2006-03-15
"016";"021";4142;2006-04-06
"043";"047";4141;2006-04-06
"015";"041";4138;2006-04-06
"011";"017";4125;2006-03-23
"021";"092";4115;2006-03-22
"012";"029";4139;2006-04-06
"003";"071";4137;2006-04-06
"022";"050";4133;2006-04-05
"002";"044";4132;2006-04-05
"014";"026";4130;2006-04-04
"007";"012";4124;2006-03-23
"012";"062";4123;2006-03-22
"012";"051";4122;2006-03-22
"012";"051";4121;2006-03-22
"024";"058";4120;2006-03-22
"041";"058";4117;2006-03-22
"002";"092";4116;2006-03-22
"003";"020";4114;2006-03-21
"007";"041";4112;2006-03-15
"016";"039";4111;2006-03-15
"007";"041";4110;2006-03-15
"007";"024";4109;2006-03-15
"016";"024";4142;2006-04-06
"043";"052";4141;2006-04-06
"015";"043";4138;2006-04-06
"011";"030";4125;2006-03-23
"021";"110";4115;2006-03-22
"012";"039";4139;2006-04-06
"003";"083";4137;2006-04-06
"022";"051";4133;2006-04-05
"002";"064";4132;2006-04-05
"014";"043";4130;2006-04-04
"007";"016";4124;2006-03-23
"012";"076";4123;2006-03-22
"012";"062";4122;2006-03-22
"012";"062";4121;2006-03-22
"024";"116";4120;2006-03-22
"041";"072";4117;2006-03-22
"003";"025";4114;2006-03-21
"007";"043";4112;2006-03-15
"016";"041";4111;2006-03-15
"007";"043";4110;2006-03-15
"007";"041";4109;2006-03-15
"016";"041";4142;2006-04-06
"043";"068";4141;2006-04-06
"015";"069";4138;2006-04-06
"011";"095";4125;2006-03-23
"021";"002";4115;2006-03-22
"012";"041";4139;2006-04-06
"022";"064";4133;2006-04-05
"002";"084";4132;2006-04-05
"014";"044";4130;2006-04-04
"007";"041";4124;2006-03-23
"012";"096";4123;2006-03-22
"012";"075";4122;2006-03-22
"012";"075";4121;2006-03-22
"041";"075";4117;2006-03-22
"003";"038";4114;2006-03-21
"007";"044";4112;2006-03-15
"016";"051";4111;2006-03-15
"007";"044";4110;2006-03-15
"007";"044";4109;2006-03-15
"016";"062";4142;2006-04-06
"015";"092";4138;2006-04-06
"011";"119";4125;2006-03-23
"012";"062";4139;2006-04-06
"022";"065";4133;2006-04-05
"002";"092";4132;2006-04-05
"014";"052";4130;2006-04-04
"007";"058";4124;2006-03-23
"012";"106";4123;2006-03-22
"012";"076";4122;2006-03-22
"012";"076";4121;2006-03-22
"041";"108";4117;2006-03-22
"003";"081";4114;2006-03-21
"007";"058";4112;2006-03-15
"016";"075";4111;2006-03-15
"007";"050";4110;2006-03-15
"007";"050";4109;2006-03-15
"016";"075";4142;2006-04-06
"012";"072";4139;2006-04-06
"022";"109";4133;2006-04-05
"002";"097";4132;2006-04-05
"014";"054";4130;2006-04-04
"007";"065";4124;2006-03-23
"012";"120";4123;2006-03-22
"012";"096";4122;2006-03-22
"012";"096";4121;2006-03-22
"003";"084";4114;2006-03-21
"007";"066";4112;2006-03-15
"016";"076";4111;2006-03-15
"007";"066";4110;2006-03-15
"007";"058";4109;2006-03-15
"016";"085";4142;2006-04-06
"012";"076";4139;2006-04-06
"022";"118";4133;2006-04-05
"002";"099";4132;2006-04-05
"014";"076";4130;2006-04-04
